date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2/14/2021,California,State,Alpha,8,6.25,21.57142857,4.963839579
2/14/2021,California,State,Omicron,0,0,0,0
2/14/2021,California,State,Mu,0,0,0,0
2/14/2021,California,State,Delta,0,0,0,0
2/14/2021,California,State,Other,27,21.09,103.5714286,23.8330046
2/14/2021,California,State,Gamma,0,0,0,0
2/15/2021,California,State,Alpha,13,5.51,20.85714286,5.248023005
2/15/2021,California,State,Delta,1,0.42,0.142857143,0.035945363
2/15/2021,California,State,Mu,0,0,0,0
2/15/2021,California,State,Other,55,23.31,95.71428571,24.08339324
2/15/2021,California,State,Lambda,0,0,0,0
2/15/2021,California,State,Beta,0,0,0.142857143,0.035945363
2/15/2021,California,State,Gamma,0,0,0,0
2/15/2021,California,State,Omicron,0,0,0,0
2/15/2021,California,State,Epsilon,167,70.76,280.5714286,70.59669303
2/15/2021,California,State,Total,236,100,397.4285714,100
2/16/2021,California,State,Alpha,39,7.47,23.28571429,6.125516723
2/16/2021,California,State,Other,121,23.18,91.71428571,24.12626832
2/16/2021,California,State,Total,522,100,380.1428571,100
2/16/2021,California,State,Lambda,0,0,0,0
2/16/2021,California,State,Omicron,0,0,0,0
2/16/2021,California,State,Mu,0,0,0,0
2/16/2021,California,State,Epsilon,361,69.16,264.7142857,69.63547539
2/16/2021,California,State,Gamma,0,0,0,0
2/16/2021,California,State,Beta,1,0.19,0.285714286,0.075159714
2/16/2021,California,State,Delta,0,0,0.142857143,0.037579857
2/17/2021,California,State,Beta,0,0,0.285714286,0.07788162
2/17/2021,California,State,Epsilon,315,69.69,257.7142857,70.24922118
2/17/2021,California,State,Delta,0,0,0.142857143,0.03894081
2/17/2021,California,State,Gamma,0,0,0,0
2/17/2021,California,State,Lambda,0,0,0,0
2/17/2021,California,State,Omicron,0,0,0,0
2/17/2021,California,State,Total,452,100,366.8571429,100
2/17/2021,California,State,Other,103,22.79,83.57142857,22.78037383
2/17/2021,California,State,Mu,0,0,0,0
2/17/2021,California,State,Alpha,34,7.52,25.14285714,6.853582555
2/18/2021,California,State,Epsilon,254,67.55,242.4285714,69.80666392
2/18/2021,California,State,Gamma,0,0,0,0
2/18/2021,California,State,Delta,1,0.27,0.285714286,0.082270671
2/18/2021,California,State,Omicron,0,0,0,0
2/18/2021,California,State,Mu,0,0,0,0
2/18/2021,California,State,Lambda,0,0,0,0
2/18/2021,California,State,Other,90,23.94,78.71428571,22.66556972
2/18/2021,California,State,Total,376,100,347.2857143,100
2/18/2021,California,State,Beta,0,0,0.285714286,0.082270671
